'JackalIv.Shadow.int_cert_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.range_leaf_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.taylor2_leaf_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.taylor4_leaf_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.split_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.sem_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.measurable_rpow_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.embedQ_DQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.embedQ_DQiter' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.qexprOf_embed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Shadow.qbuild_embed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Cert.cert_check_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.runs_encloses' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Deriv.taylor2_enclosure_of_evaluable' depends on axioms: [propext, Classical.choice, Quot.sound]
'JackalIv.Deriv.taylor4_enclosure_of_evaluable' depends on axioms: [propext, Classical.choice, Quot.sound]
